"";"fishTest.0.01";"fishTest.0.02";"fishTest.0.03";"fishTest.0.04";"fishTest.0.05";"fishTest.0.07";"fishTest.0.09";"fishTest.0.11";"fishTest.0.13";"fishTest.0.15";"fishTest.0.2";"fishTest.0.25";"fishTest.0.3";"fishTest.0.35";"fishTest.0.4";"fishTest.0.45";"fishTest.0.5";"fishTest.0.55";"fishTest.0.6";"fishTest.0.65";"fishTest.0.7";"fishTest.0.75";"fishTest.0.8";"fishTest.0.85";"fishTest.0.9";"fishTest.0.95";"fishTestCompl.0.01";"fishTestCompl.0.02";"fishTestCompl.0.03";"fishTestCompl.0.04";"fishTestCompl.0.05";"fishTestCompl.0.07";"fishTestCompl.0.09";"fishTestCompl.0.11";"fishTestCompl.0.13";"fishTestCompl.0.15";"fishTestCompl.0.2";"fishTestCompl.0.25";"fishTestCompl.0.3";"fishTestCompl.0.35";"fishTestCompl.0.4";"fishTestCompl.0.45";"fishTestCompl.0.5";"fishTestCompl.0.55";"fishTestCompl.0.6";"fishTestCompl.0.65";"fishTestCompl.0.7";"fishTestCompl.0.75";"fishTestCompl.0.8";"fishTestCompl.0.85";"fishTestCompl.0.9";"fishTestCompl.0.95"
"68";0,172;0,244;0,352;0,413;0,519;0,671;0,754;0,862;0,897;0,935;0,984;0,997;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,067;0,031;0,032;0,025;0,008;0,004;0,001;0,002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"69";0,704;0,881;0,958;0,975;0,992;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0,005;0,001;0;0,001;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1
"70";0,364;0,653;0,824;0,923;0,97;0,996;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,038;0,013;0,002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"71";0,312;0,587;0,779;0,893;0,956;0,993;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,036;0,011;0,005;0,001;0,002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"72";0,259;0,409;0,589;0,695;0,799;0,921;0,964;0,986;0,996;0,998;1;0,999;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0,051;0,018;0,015;0,006;0,005;0,001;0;0,001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"73";0,655;0,915;0,985;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,008;0,001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1
"74";0,46;0,741;0,903;0,977;0,997;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,026;0,008;0,003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"75";0,388;0,71;0,921;0,978;0,994;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,028;0,004;0,001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
"76";0,644;0,863;0,945;0,974;0,988;0,999;0,997;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0,004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1
"77";0,515;0,887;0,967;0,996;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,017;0,004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"78";0,355;0,636;0,821;0,918;0,97;0,999;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,994;0,034;0,009;0,004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"79";0,321;0,564;0,762;0,884;0,941;0,989;0,996;0,999;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,039;0,011;0,003;0,003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
"80";0,77;0,99;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
"81";0,848;0,998;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0,005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"82";0,405;0,549;0,703;0,794;0,843;0,929;0,951;0,974;0,985;0,992;1;0,999;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0,03;0,013;0,01;0,002;0,003;0,002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1
